Model,Accuracy,Precision,Recall,F1 (W),F1 (M),MCC,ROC-AUC,ECE,Infer (ms)
LightGBM,79.9,82.1306,79.9,80.8542,49.0722,0.742123,0.94777,0.092323,0.8743
XGBoost,79.4,82.6963,79.4,80.9212,50.2965,0.736739,0.949561,0.060721,0.5571
Random Forest,79.05,83.6044,79.05,81.0681,48.0869,0.734701,0.931202,0.17424,28.5993
Decision Tree,74.05,80.0435,74.05,76.6921,45.9135,0.673221,0.752376,0.21608,0.0245
SVM,70.35,63.3886,70.35,66.0556,31.5017,0.604449,0.856428,0.120953,0.6588
Naive Bayes,66.0,69.9795,66.0,67.1749,38.9036,0.576503,0.839948,0.117557,0.1548
KNN,30.2,60.8254,30.2,37.9301,20.1048,0.22358,0.625167,0.3727,0.6032
